Tanggal,Suhu,Kelembaban_Tanah,Curah_Hujan,Nutrisi_Tanah,Pengendalian_Hama
2018-01-01,27,40,5,4,3
2018-02-01,28,45,10,5,2
2018-03-01,30,42,8,6,3
2018-04-01,29,48,12,5,4
2018-05-01,31,50,15,7,3
2018-06-01,28,43,4,6,3
2018-07-01,26,39,0,5,2
2018-08-01,27,37,1,6,4
2018-09-01,29,45,7,4,3
2018-10-01,30,41,5,5,3
2018-11-01,28,44,2,6,4
2018-12-01,29,46,9,7,3
2019-01-01,28,43,5,6,2
2019-02-01,30,45,11,5,3
2019-03-01,32,48,9,4,3
2019-04-01,31,50,15,5,4
2019-05-01,33,52,12,6,3
2019-06-01,28,47,10,7,2
2019-07-01,26,39,0,5,4
2019-08-01,28,45,8,6,3
2019-09-01,29,40,5,4,2
2019-10-01,30,42,3,5,3
2019-11-01,28,46,1,6,4
2019-12-01,29,48,6,7,3
2020-01-01,27,42,4,5,2
2020-02-01,29,44,8,6,3
2020-03-01,30,45,9,4,3
2020-04-01,28,47,7,5,4
2020-05-01,31,50,10,6,3
2020-06-01,29,49,5,7,2
2020-07-01,28,45,3,4,3
2020-08-01,26,40,0,5,4
2020-09-01,27,43,2,6,3
2020-10-01,29,41,5,5,3
2020-11-01,30,44,6,4,4
2020-12-01,31,48,9,6,3
2021-01-01,28,42,5,7,2
2021-02-01,29,43,10,6,3
2021-03-01,30,46,4,5,3
2021-04-01,31,49,7,6,4
2021-05-01,28,50,12,4,3
2021-06-01,29,44,8,5,2
2021-07-01,30,45,3,6,3
2021-08-01,31,48,2,5,4
2021-09-01,28,46,9,7,3
2021-10-01,29,47,11,6,2
2021-11-01,30,49,8,5,3
2021-12-01,31,50,10,4,3
2022-01-01,28,42,5,6,4
2022-02-01,29,43,7,5,2
2022-03-01,30,46,9,6,3
2022-04-01,31,47,12,5,4
2022-05-01,28,48,11,6,3
2022-06-01,29,45,10,7,2
2022-07-01,30,46,8,4,3
2022-08-01,31,50,5,5,4
2022-09-01,28,42,6,7,3
2022-10-01,29,45,4,6,2
2022-11-01,30,44,3,5,3
2022-12-01,31,46,8,6,4
2023-01-01,28,40,5,4,2
2023-02-01,29,45,10,5,3
2023-03-01,30,42,8,6,3
2023-04-01,31,48,12,5,4
2023-05-01,28,50,15,7,3
2023-06-01,29,43,4,6,3
2023-07-01,30,39,0,5,2
2023-08-01,31,37,1,6,4
2023-09-01,28,45,7,4,3
2023-10-01,29,41,5,5,3
2023-11-01,30,44,2,6,4
2023-12-01,31,46,9,7,3
2024-01-01,32,60,80,8,5
2024-02-01,30,48,65,7,2
2024-03-01,29,45,75,6,3
2024-04-01,28,43,85,5,4
2024-05-01,27,40,95,5,2
2024-06-01,28,39,100,6,3
2024-07-01,29,42,110,5,3
2024-08-01,30,43,80,6,4
